Data Source,World Development Indicators,,,,,
,,,,,,
Norway,NOR,"Population, total",SP.POP.TOTL,3581239,3609800,3638918
Nepal,NPL,"Population, total",SP.POP.TOTL,10063011,10221759,10384204
Nauru,NRU,"Population, total",SP.POP.TOTL,4433,4675,4947
New Zealand,NZL,"Population, total",SP.POP.TOTL,2371800,2419700,2482000
OECD members,OED,"Population, total",SP.POP.TOTL,788709114,801024442,811972766
Oman,OMN,"Population, total",SP.POP.TOTL,551740,564890,578824
Other small states,OSS,"Population, total",SP.POP.TOTL,9196324,9366201,9539303
Pakistan,PAK,"Population, total",SP.POP.TOTL,44908293,45984892,47119361
Panama,PAN,"Population, total",SP.POP.TOTL,1132921,1167035,1202373
Peru,PER,"Population, total",SP.POP.TOTL,10061515,10350242,10650667
Philippines,PHL,"Population, total",SP.POP.TOTL,26273025,27164617,28081231
Palau,PLW,"Population, total",SP.POP.TOTL,9642,9900,10151
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2010677,2051947,2094687
Poland,POL,"Population, total",SP.POP.TOTL,29637450,29964000,30308500
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,188636191,192957526,197466057
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,2358000,2399722,2450322
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,11424176,11665595,11871712
Portugal,PRT,"Population, total",SP.POP.TOTL,8857716,8929316,8993985
Paraguay,PRY,"Population, total",SP.POP.TOTL,1902875,1953328,2005337
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,,,
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,865809,894213,924220
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,754705296,765517069,774970556
French Polynesia,PYF,"Population, total",SP.POP.TOTL,78076,80703,83651
Qatar,QAT,"Population, total",SP.POP.TOTL,47384,51421,56263
Romania,ROU,"Population, total",SP.POP.TOTL,18406905,18555250,18676550
Russian Federation,RUS,"Population, total",SP.POP.TOTL,119897000,121236000,122591000
Rwanda,RWA,"Population, total",SP.POP.TOTL,2933428,2996096,3050604
South Asia,SAS,"Population, total",SP.POP.TOTL,571857185,583950448,596504751
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,4086539,4218879,4362864
Sudan,SDN,"Population, total",SP.POP.TOTL,7544491,7769482,8004121
Senegal,SEN,"Population, total",SP.POP.TOTL,3206749,3295293,3386863
Singapore,SGP,"Population, total",SP.POP.TOTL,1646400,1702400,1750200
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,117866,121396,125064
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,2297110,2329204,2363013
El Salvador,SLV,"Population, total",SP.POP.TOTL,2762899,2843240,2927857
San Marino,SMR,"Population, total",SP.POP.TOTL,15397,15789,16199
Somalia,SOM,"Population, total",SP.POP.TOTL,2755947,2814096,2874190
Serbia,SRB,"Population, total",SP.POP.TOTL,,,
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,228483817,233895063,239523824
South Sudan,SSD,"Population, total",SP.POP.TOTL,2955152,3011110,3069913
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,228525517,233937952,239567866
Small states,SST,"Population, total",SP.POP.TOTL,14260440,14538216,14821269
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,64253,64551,64432
Suriname,SUR,"Population, total",SP.POP.TOTL,289966,298188,306328
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,4068095,4191667,4238188
Slovenia,SVN,"Population, total",SP.POP.TOTL,1584720,1594131,1603649
Sweden,SWE,"Population, total",SP.POP.TOTL,7484656,7519998,7561588
Swaziland,SWZ,"Population, total",SP.POP.TOTL,349174,357453,365636
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,,,
Seychelles,SYC,"Population, total",SP.POP.TOTL,41700,42889,44042
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,4573512,4721896,4875422
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,5726,5763,5763
Chad,TCD,"Population, total",SP.POP.TOTL,3001593,3060355,3121216
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,884594151,883622082,895002116
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,308725388,313380986,318070294
Togo,TGO,"Population, total",SP.POP.TOTL,1580513,1597526,1612755
Thailand,THA,"Population, total",SP.POP.TOTL,27397175,28224204,29081034
Tajikistan,TJK,"Population, total",SP.POP.TOTL,2087038,2159123,2236559
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,1603258,1658362,1715408
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,210357620,216285875,222396518
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,499950,508845,518107
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,97837766,100458479,103147177
Tonga,TON,"Population, total",SP.POP.TOTL,61601,63745,66259
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,571857185,583950448,596504751
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,228525517,233937952,239567866
